,volatile_acidity,free_sulfur_dioxide,total_sulfur_dioxide,pH,alcohol
0,0.7,11.0,34.0,3.51,9.4
1,0.88,25.0,67.0,3.2,9.8
2,0.76,15.0,54.0,3.26,9.8
3,0.28,17.0,60.0,3.16,9.8
4,0.7,11.0,34.0,3.51,9.4
5,0.66,13.0,40.0,3.51,9.4
6,0.6,15.0,59.0,3.3,9.4
7,0.65,15.0,21.0,3.39,10.0
8,0.58,9.0,18.0,3.36,9.5
9,0.5,17.0,102.0,3.35,10.5
10,0.58,15.0,65.0,3.28,9.2
11,0.5,17.0,102.0,3.35,10.5
12,0.615,16.0,59.0,3.58,9.9
13,0.61,9.0,29.0,3.26,9.1
14,0.62,52.0,145.0,3.16,9.2
15,0.62,51.0,148.0,3.17,9.2
16,0.28,35.0,103.0,3.3,10.5
17,0.56,16.0,56.0,3.11,9.3
18,0.59,6.0,29.0,3.38,9.0
19,0.32,17.0,56.0,3.04,9.2
20,0.22,29.0,60.0,3.39,9.4
21,0.39,23.0,71.0,3.52,9.7
22,0.43,10.0,37.0,3.17,9.5
23,0.49,9.0,67.0,3.17,9.4
24,0.4,21.0,40.0,3.43,9.7
25,0.39,11.0,23.0,3.34,9.3
26,0.41,4.0,11.0,3.28,9.5
27,0.43,10.0,37.0,3.17,9.5
28,0.71,14.0,35.0,3.47,9.4
29,0.645,8.0,16.0,3.38,9.8
30,0.675,17.0,82.0,3.35,10.1
31,0.685,22.0,37.0,3.46,10.6
32,0.655,15.0,113.0,3.17,9.8
33,0.605,40.0,83.0,3.45,9.4
34,0.32,13.0,50.0,3.38,9.2
35,0.645,5.0,18.0,3.4,9.6
36,0.6,3.0,15.0,3.42,10.8
37,0.38,13.0,30.0,3.23,9.7
38,1.13,7.0,19.0,3.5,9.8
39,0.45,12.0,87.0,3.33,10.5
40,0.45,12.0,87.0,3.33,10.5
41,0.61,17.0,46.0,3.26,9.3
42,0.49,8.0,14.0,3.21,10.5
43,0.66,9.0,23.0,3.3,10.3
44,0.67,5.0,11.0,3.48,9.5
45,0.52,8.0,65.0,3.9,13.1
46,0.935,22.0,114.0,3.25,9.2
47,0.29,12.0,37.0,3.25,9.5
48,0.4,5.0,12.0,3.34,9.2
49,0.31,12.0,96.0,3.32,9.2
50,0.66,4.0,23.0,3.15,9.2
51,0.52,8.0,15.0,3.4,9.4
52,0.5,6.0,14.0,3.39,9.4
53,0.38,30.0,119.0,3.2,9.4
54,0.51,33.0,73.0,3.17,10.2
55,0.62,25.0,45.0,3.34,9.5
56,0.42,4.0,10.0,3.04,9.6
57,0.63,50.0,110.0,3.26,9.4
58,0.59,17.0,54.0,3.43,10.0
59,0.39,9.0,46.0,3.41,9.4
60,0.4,19.0,52.0,3.44,9.2
61,0.69,20.0,112.0,3.21,9.3
62,0.52,12.0,35.0,3.38,9.5
63,0.735,13.0,54.0,3.39,9.8
64,0.725,4.0,11.0,3.41,10.9
65,0.725,4.0,11.0,3.41,10.9
66,0.52,11.0,39.0,3.42,9.6
67,0.705,6.0,15.0,3.44,10.7
68,0.32,27.0,65.0,3.28,10.7
69,0.705,8.0,19.0,3.34,10.5
70,0.63,15.0,27.0,3.32,9.5
71,0.67,17.0,96.0,3.32,9.5
72,0.69,18.0,94.0,3.31,9.5
73,0.675,11.0,43.0,3.31,9.2
74,0.32,28.0,83.0,3.28,9.6
75,0.41,9.0,42.0,3.54,10.5
76,0.41,9.0,42.0,3.54,10.5
77,0.785,14.0,30.0,3.52,10.7
78,0.75,12.0,80.0,3.38,10.1
79,0.625,27.0,119.0,3.16,9.1
80,0.45,3.0,15.0,3.41,9.2
81,0.43,22.0,67.0,3.13,9.4
82,0.5,21.0,73.0,3.36,9.1
83,0.67,16.0,51.0,3.16,9.4
84,0.3,18.0,61.0,3.44,10.3
85,0.55,19.0,40.0,3.41,10.1
86,0.49,20.0,136.0,2.93,9.9
87,0.49,9.0,31.0,3.39,9.6
88,0.39,34.0,125.0,3.14,9.5
89,0.62,8.0,24.0,3.48,9.0
90,0.52,42.0,140.0,3.23,9.5
91,0.49,20.0,136.0,2.93,9.9
92,0.49,19.0,133.0,2.93,9.8
93,0.49,9.0,31.0,3.39,9.6
94,1.02,41.0,85.0,3.75,10.5
95,0.6,17.0,106.0,3.85,12.9
96,0.775,8.0,23.0,3.45,10.7
97,0.5,3.0,22.0,3.25,9.2
98,0.9,5.0,10.0,3.39,9.8
99,0.545,13.0,35.0,3.3,9.0
100,0.61,11.0,50.0,3.4,10.2
101,0.5,8.0,22.0,3.31,10.4
102,0.545,13.0,35.0,3.3,9.0
103,0.575,12.0,65.0,3.29,9.2
104,0.49,5.0,36.0,3.33,9.4
105,0.575,12.0,65.0,3.29,9.2
106,0.41,18.0,69.0,3.08,9.3
107,0.63,15.0,64.0,3.46,9.3
108,0.33,18.0,80.0,3.37,9.6
109,0.785,37.0,153.0,3.21,9.3
110,0.56,12.0,47.0,3.19,9.5
111,0.62,11.0,108.0,3.15,9.8
112,0.6,14.0,111.0,3.15,9.8
113,0.31,22.0,46.0,3.32,9.7
114,0.56,12.0,47.0,3.19,9.5
115,0.4,13.0,62.0,3.07,10.5
116,0.54,11.0,40.0,3.39,10.0
117,0.56,7.0,28.0,3.37,9.4
118,0.55,14.0,56.0,3.21,10.9
119,0.69,22.0,89.0,3.34,9.2
120,1.07,10.0,89.0,3.3,9.0
121,0.55,14.0,56.0,3.21,10.9
122,0.695,3.0,13.0,3.49,9.2
123,0.71,11.0,34.0,3.44,9.5
124,0.5,21.0,102.0,3.39,9.5
125,0.62,27.0,90.0,3.16,9.4
126,1.33,3.0,12.0,3.53,10.9
127,1.33,3.0,12.0,3.54,10.9
128,0.59,3.0,16.0,3.42,10.5
129,0.38,6.0,19.0,3.42,9.4
130,0.745,30.0,134.0,3.24,9.4
131,0.5,17.0,99.0,3.63,13.0
132,0.5,17.0,99.0,3.63,13.0
133,0.5,17.0,26.0,3.4,9.8
